구분,DIA,출근시간,1차 출발시각,1차 출발역,1차기운영,1차 도착시각,1차 도착역,2차 출발시각,2차 출발역,2차기운영,2차 도착시각,2차 도착역,3차 출발시간,3차 출발역,3차기운영,3차 도착시간,3차 도착역,4차 출발시간,4차 출발역,4차기운영,4차 도착시간,4차 도착역,5차 출발시간,5차 출발역,5차기운영,5차 도착시간,5차 도착역,6차 출발시간,6차 출발역,6차기운영,6차 도착시간,6차 도착역,퇴근시간,,계,운전시간,대기시간,편승시간,감시시간,준비시간,정리시간,심야시간
휴휴,77,,20:25,답십,5653,22:35,방기,5:25,방기,1503,6:59,하풍,7:06,하풍,5028,7:34,답십,,,,,,,,,,,,,,,,8:05,,11:19,4:19,4:00,0:00,0:00,1:30,1:30,7:10
휴휴,78,,20:37,답십,5655,22:46,방기,5:31,방기,1505,7:40,답십,,,,,,,,,,,,,,,,,,,,,8:11,,11:19,4:19,4:00,0:00,0:00,1:30,1:30,7:15
휴휴,79,,21:13,답십,5661,23:54,화곡,7:19,방기,1525,8:24,답십,,,,,,,,,,,,,,,,,,,,,8:55,,9:36,4:06,2:30,0:00,0:00,1:30,1:30,5:43
휴휴,80,,21:19,답십,5167,21:47,하풍,21:59,하풍,5176,23:34,방기,5:37,방기,1507,7:11,하풍,7:18,하풍,5030,7:46,답십,,,,,,,,,,,8:17,,11:24,4:24,4:00,0:00,0:00,1:30,1:30,7:57
휴휴,81,,21:31,답십,5169,21:59,하풍,22:12,하풍,5178,23:47,방기,5:49,방기,1511,7:23,하풍,7:30,하풍,5032,7:58,답십,,,,,,,,,,,8:29,,11:25,4:25,4:00,0:00,0:00,1:30,1:30,7:58
휴휴,82,,21:36,답십,5665,23:41,방기,5:43,방기,1509,7:52,답십,,,,,,,,,,,,,,,,,,,,,8:23,,11:14,4:14,4:00,0:00,0:00,1:30,1:30,7:58
휴휴,83,,21:48,답십,5667,23:53,방기,6:07,방기,1515,8:16,답십,,,,,,,,,,,,,,,,,,,,,8:47,,11:14,4:14,4:00,0:00,0:00,1:30,1:30,7:46
휴휴,84,,22:01,답십,5669,24:05:00,방기,6:55,방기,1523,8:00,답십,,,,,,,,,,,,,,,,,,,,,8:31,,8:40,3:10,2:30,0:00,0:00,1:30,1:30,5:40
휴휴,85,,20:01,답십,5649,21:04,답십,22:13,답십,5671,24:06:00,화곡,5:30,화곡,5007,6:16,답십,,,,,,,,,,,,,,,,6:46,,9:13,3:43,2:30,0:00,0:00,1:30,1:30,7:06
휴휴,86,,22:19,답십,5177,22:47,하풍,23:00,하풍,5184,23:59,여의,5:30,여의,5002,7:06,답십,,,,,,,,,,,,,,,,7:37,,8:47,3:17,2:30,0:00,0:00,1:30,1:30,6:59
휴휴,87,,22:38,답십,5675,24:03:00,애오,5:37,애오,5004,7:24,답십,,,,,,,,,,,,,,,,,,,,,7:55,,8:43,3:13,2:30,0:00,0:00,1:30,1:30,6:48
휴휴,88,,22:08,답십,5662,23:58,애오,5:40,애오,5507,7:04,답십,,,,,,,,,,,,,,,,,,,,,7:35,,8:45,3:15,2:30,0:00,0:00,1:30,1:30,6:48
휴휴,89,,21:53,답십,5660,24:04:00,군자,5:32,군자,5008,7:48,답십,,,,,,,,,,,,,,,,,,,,,8:19,,10:54,4:27,3:27,0:00,0:00,1:30,1:30,8:00
휴휴,90,,21:05,답십,5652,23:41,하풍,5:38,하풍,5014,6:06,답십,,,,,,,,,,,,,,,,,,,,,6:37,,8:35,3:05,2:30,0:00,0:00,1:30,1:30,6:33
